time,src_ip,dst_ip,protocol,length
2024-11-19 11:49:17.821035,20.189.173.23,10.1.32.136,TCP,153
2024-11-19 11:49:17.821913,10.1.32.136,20.189.173.23,TCP,491
2024-11-19 11:49:18.009171,13.89.179.11,10.1.32.136,TCP,176
2024-11-19 11:49:18.011032,10.1.32.136,13.89.179.11,TCP,89
2024-11-19 11:49:18.042694,20.189.173.23,10.1.32.136,TCP,4212
2024-11-19 11:49:18.042694,20.189.173.23,10.1.32.136,TCP,428
2024-11-19 11:49:18.042955,10.1.32.136,20.189.173.23,TCP,54
2024-11-19 11:49:18.044298,10.1.32.136,20.189.173.23,TCP,1440
2024-11-19 11:49:18.044298,10.1.32.136,20.189.173.23,TCP,1440
2024-11-19 11:49:18.044298,10.1.32.136,20.189.173.23,TCP,1440
2024-11-19 11:49:18.044298,10.1.32.136,20.189.173.23,TCP,1440
2024-11-19 11:49:18.044298,10.1.32.136,20.189.173.23,TCP,245
2024-11-19 11:49:18.262859,20.189.173.23,10.1.32.136,TCP,60
2024-11-19 11:49:18.262859,20.189.173.23,10.1.32.136,TCP,66
2024-11-19 11:49:18.262859,20.189.173.23,10.1.32.136,TCP,60
2024-11-19 11:49:18.274471,20.189.173.23,10.1.32.136,TCP,520
2024-11-19 11:49:18.274639,10.1.32.136,20.189.173.23,TCP,66
2024-11-19 11:49:18.302078,13.89.179.11,10.1.32.136,TCP,60
2024-11-19 11:49:18.547323,20.189.173.23,10.1.32.136,TCP,623
2024-11-19 11:49:18.547550,10.1.32.136,20.189.173.23,TCP,66
2024-11-19 11:49:18.548069,10.1.32.136,20.189.173.23,TCP,78
2024-11-19 11:49:18.548155,10.1.32.136,20.189.173.23,TCP,54
2024-11-19 11:49:18.764318,20.189.173.23,10.1.32.136,TCP,60
2024-11-19 11:49:25.311135,10.1.32.136,13.89.179.11,TCP,173
2024-11-19 11:49:25.311425,10.1.32.136,13.89.179.11,TCP,1440
2024-11-19 11:49:25.311425,10.1.32.136,13.89.179.11,TCP,1440
2024-11-19 11:49:25.311425,10.1.32.136,13.89.179.11,TCP,1440
2024-11-19 11:49:25.311425,10.1.32.136,13.89.179.11,TCP,1440
2024-11-19 11:49:25.311425,10.1.32.136,13.89.179.11,TCP,1440
2024-11-19 11:49:25.311425,10.1.32.136,13.89.179.11,TCP,1440
